grower,farm,field,field_fvid,lat,lng,year,tmin,tmax,gdd,cpba_count,cpba_value,cpbl_count,cpbl_value,cum_gdd,croptype,clas_prop,wei_prop,clas_intensity,wei_intensity,summer_avg_temp,summer_hottest_temp,summer_coldest_temp,summer_avg_percip,summer_heavy_rainfall_days,summer_temp_variability,summer_cold_days,winter_avg_temp,winter_hottest_temp,winter_coldest_temp,winter_heavy_rainfall_days,winter_temp_variability,winter_warm_day_count,winter_extreme_cold_days,spring_frost_free_days
Sterling Farms,Joe Seis,Schindelbeck Middle,402295,44.05302254,-89.77657974,2016,44.8078923882697,87.2321076117304,17.6952049241855,3.4,3.4,4.5,4.5,1784.51376390703,43,0.2,0.333333333333333,0.0131203654528604,0.019727255622606,19.56829268292683,33.3,-2.8,2.4378640776699028,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Gene Bula,Gene Bula,1-15 S1/2,402305,44.20844172,-89.65267518,2016,49.9784105793339,89.8517557614385,18.1425359773388,4.09090909090909,4.09090909090909,7.36363636363636,7.36363636363636,1956.71830638423,43,0.4,0.4,0.0881381883168081,0.086547522058357,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Gumz Muck Farms,Good Earth,53,402950,43.68712857,-89.5162631,2016,50.8297947854481,92.2313446288418,15.9881130402382,5.58888888888889,5.58888888888889,9.44444444444444,9.44444444444444,1476.65429034066,36,0.0,0.0,0.0315768165454278,0.0311007769691332,19.54308943089431,33.8,-1.6,2.287671232876712,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Gumz Muck Farms,Lewiston,L7,403030,43.60722927,-89.61704599,2016,50.192455602251,92.7547697098298,16.5280824037692,2.83333333333333,2.83333333333333,4.88888888888889,4.88888888888889,1473.73814215738,57,0.2,0.133333333333333,0.0218244165060083,0.0210121321176536,19.54308943089431,33.8,-1.6,6.72542372881356,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Taterland,Taterland,Tibbetts East,417042,44.18212086,-89.5401895,2016,48.7377716293492,89.6104038544945,16.9261852668993,2.42928571428571,2.42928571428571,4.91666666666667,4.91666666666667,1956.96935316784,43,0.2,0.333333333333333,0.175728042746884,0.15566975436752,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Taterland,Taterland,Turner North,417044,44.21624289,-89.58555052,2016,48.144781534021,89.4679698956385,16.6517766538578,5.44230769230769,5.44230769230769,4.07692307692308,4.07692307692308,1823.56447990494,43,0.2,0.333333333333333,0.1782826477047,0.172748872129117,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Heartland Farms,Monday,P-37,417105,44.10614194,-89.5488716,2016,50.2312795026859,90.4581912898585,20.2000283394468,2.53846153846154,2.53846153846154,4.0,4.0,1879.84695795206,43,0.4,0.4,0.134197783214561,0.123356282233382,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,P-38,417106,44.10325403,-89.54489431,2016,50.2190253102645,90.4829212313849,19.5890766968933,3.26923076923077,3.26923076923077,7.34166666666667,7.34166666666667,1999.12227148214,43,0.2,0.333333333333333,0.144323458506363,0.134328258352361,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,P-30,417110,44.13743295,-89.58032046,2016,44.3722513784266,87.6792816351631,19.0156809882193,3.85714285714286,3.85714285714286,7.92307692307692,7.92307692307692,1990.4129316477,43,0.4,0.4,0.219128255290634,0.216081356038612,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Heartland Farms,Tuesday,P-31,417111,44.13664119,-89.57325145,2016,44.4016436318451,87.6521639913274,19.5296792629402,3.21428571428571,3.21428571428571,5.92307692307692,5.92307692307692,2096.37430402194,43,0.4,0.4,0.240497857392632,0.244041371517732,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Heartland Farms,Monday,P-10,417112,44.1518046,-89.45623445,2016,48.2993099868875,89.5022084507033,17.9611333044734,3.30769230769231,3.30769230769231,5.0,5.0,1956.77340052901,43,0.4,0.4,0.160432852666056,0.154753116371469,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Tuesday,P-32,417118,44.12811791,-89.57616339,2016,44.4824955157918,87.7015640426472,19.1314501298731,4.63636363636364,4.63636363636364,4.14285714285714,4.14285714285714,2098.56477104267,43,0.2,0.333333333333333,0.190456673976096,0.18829392095697,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Heartland Farms,Monday,P-14,417129,44.13749669,-89.49449782,2016,48.7162904971519,89.8980041793581,17.22612810075,4.07692307692308,4.07692307692308,5.81818181818182,5.81818181818182,1849.88721209565,43,0.2,0.333333333333333,0.0733609265966157,0.0858738494467868,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,P-15,417131,44.13726349,-89.48715794,2016,48.6876045675717,89.8580683753557,18.0488077773776,3.71428571428571,3.71428571428571,10.5,10.5,1963.40070742872,43,0.2,0.333333333333333,0.101661557549218,0.112037602011663,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,P-19,417132,44.13167803,-89.49571277,2016,48.7969487670669,90.006041611969,17.8539320374157,2.57692307692308,2.57692307692308,3.91818181818182,3.91818181818182,1871.66196963996,43,0.4,0.466666666666667,0.0535732855765495,0.0689158269130003,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Signature Farms,Signature Farms,Timmy's 5th N1/2,417223,43.93214533,-89.67295094,2016,50.1553483219034,87.0422792791588,18.3423945691176,4.44285714285714,4.44285714285714,4.66071428571429,4.66071428571429,1978.38003256074,43,0.4,0.4,0.132581640184078,0.138455010173084,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Signature Farms,Signature Farms,Stones,417244,43.80836954,-89.74156679,2016,49.0674380748501,89.646934943101,19.1371507874129,1.54166666666667,1.54166666666667,5.90909090909091,6.4,1804.95543855519,43,0.4,0.4,0.0143649233692668,0.0148672209064201,19.54308943089431,33.8,-1.6,4.558536585365854,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Gene Bula,Gene Bula,Clarks,432438,44.27029076,-89.61393876,2016,47.5511351548306,91.3031922574792,15.541062752703,4.66666666666667,4.66666666666667,6.36363636363636,6.36363636363636,1637.81057045446,1,0.2,0.2,0.0895880513956485,0.0890124313500691,19.56829268292683,33.3,-2.8,2.4378640776699028,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Heartland Farms,Monday,H-76,548258,44.12296996,-89.71240822,2016,44.15735024904,87.4676207718462,18.9693825020052,5.08333333333333,5.08333333333333,11.1,11.1,1893.52271884706,42,0.0,0.0,0.0454042233744362,0.0465355613996003,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Heartland Farms,Wednesday,H-81,548259,44.07224042,-89.77295417,2016,49.2140749004318,87.3463669433075,18.9135532499915,5.16923076923077,5.16923076923077,8.0,8.0,2012.42778013992,43,0.2,0.333333333333333,0.0141648951608606,0.0232684728661619,19.56829268292683,33.3,-2.8,2.4378640776699028,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Heartland Farms,Wednesday,H-82,548261,44.06682858,-89.7728767,2016,49.190695793037,87.3498962940443,18.9154057319938,2.95,2.95,7.08333333333333,7.08333333333333,2013.35235153674,43,0.2,0.333333333333333,0.0175864574356512,0.0280937779580634,19.56829268292683,33.3,-2.8,2.4378640776699028,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Heartland Farms,Monday,C-30,548305,43.98569012,-89.61239339,2016,50.5704023341326,90.0744795849473,19.2869826662386,4.08571428571429,4.08571428571429,5.23076923076923,5.23076923076923,1999.47472969402,43,0.4,0.466666666666667,0.156887665974947,0.162659245673789,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,W-24,549235,44.31188353,-89.21373653,2016,50.4779818494843,92.1798353094506,17.4482289329499,2.33333333333333,2.33333333333333,7.25,7.25,1919.03449503059,43,0.2,0.333333333333333,0.0230020247381883,0.0238536226945907,20.357723577235774,34.6,-0.6,2.8285714285714287,2.0,4.479607859925003,6.0,-2.516853932584269,14.9,-25.1,0.0,6.395830245968075,9.0,15.0,19.0
Hetzel/Wohlfiel,Hetzel/Wohlfiel,Meyer SE,553965,44.25326414,-89.47023297,2016,49.8992589928402,89.1578080283135,17.3927340780309,2.94307692307692,2.94307692307692,3.66071428571429,3.66071428571429,1880.8888384976,43,0.2,0.333333333333333,0.0753748556128701,0.0868352191917173,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Hetzel/Wohlfiel,Hetzel/Wohlfiel,Meyer E,553966,44.25290427,-89.46451929,2016,49.885991120178,89.1609172996068,17.387698616728,3.52,3.52,5.32142857142857,5.32142857142857,1880.37977162801,43,0.2,0.333333333333333,0.0487871208957063,0.0557348171295078,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Hetzel/Wohlfiel,Hetzel/Wohlfiel,Wheeler,553967,44.24941566,-89.47469634,2016,49.9091973086918,89.191058836625,17.4254876220822,5.56153846153846,5.56153846153846,7.17857142857143,7.17857142857143,1885.2982871404,42,0.2,0.266666666666667,0.0921123806577004,0.100044242139803,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Heartland Farms,Monday,C-42,568175,44.00460927,-89.62274532,2016,50.4313905672254,90.2253797849898,19.3155975421358,5.92857142857143,5.92857142857143,7.83416666666667,7.83416666666667,2006.24333802778,43,0.2,0.333333333333333,0.147569523479676,0.157742906442003,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,W-40,568181,44.08553898,-89.25080299,2016,49.575571613786,92.009462415631,16.67318682256,1.38181818181818,1.38181818181818,3.0,3.0,1705.12973402463,43,0.2,0.333333333333333,0.0109803413932245,0.0183005689887074,19.53821138211382,33.5,-3.9,2.8285714285714287,2.0,4.534431486500928,11.0,-3.3258426966292127,14.9,-27.2,0.0,6.7398834642253345,7.0,20.0,16.0
Heartland Farms,Monday,W-41,568182,44.08197639,-89.24096986,2016,49.7030086354691,92.0075125131616,16.6875823810033,1.22272727272727,1.22272727272727,3.27272727272727,3.27272727272727,1704.60966258878,43,0.2,0.333333333333333,0.0109803413929398,0.018300568988233,19.53821138211382,33.5,-3.9,2.8285714285714287,2.0,4.534431486500928,11.0,-3.3258426966292127,14.9,-27.2,0.0,6.7398834642253345,7.0,20.0,16.0
Heartland Farms,Monday,W-47,568183,44.02324905,-89.22808684,2016,49.906017079512,92.0550024239849,16.8454409370085,1.04545454545455,1.04545454545455,3.3,3.3,1722.58724764483,43,0.2,0.333333333333333,0.0106236713708817,0.0177061189514695,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Heartland Farms,Monday,W-48,568184,44.09959108,-89.15926867,2016,50.1939510689972,91.767861594595,16.7084510958604,1.54545454545455,1.54545454545455,2.27272727272727,2.27272727272727,1693.0358399011,43,0.2,0.333333333333333,0.0072607825916724,0.0120673357459258,19.53821138211382,33.5,-3.9,2.8285714285714287,2.0,4.534431486500928,11.0,-3.3258426966292127,14.9,-27.2,0.0,6.7398834642253345,7.0,20.0,16.0
Helbach Farms,Helbach Farms,J-96,568203,44.35970945,-89.15104929,2016,48.5629784793454,88.092724573072,16.3931123783701,1.875,1.875,5.33333333333333,5.33333333333333,1856.06178288547,43,0.2,0.333333333333333,0.0065574357503086,0.0098708461028148,20.357723577235774,34.6,-0.6,2.9032520325203253,0.0,4.479607859925003,6.0,-2.516853932584269,14.9,-25.1,0.0,6.395830245968075,9.0,15.0,19.0
Helbach Farms,Helbach Farms,H-79,568204,44.36873826,-89.25571121,2016,48.8866617126761,87.6365156575806,16.1534766638671,3.15384615384615,3.15384615384615,4.91666666666667,4.91666666666667,1904.11327949782,43,0.4,0.4,0.0198648265421291,0.0195908371741039,20.357723577235774,34.6,-0.6,4.889430894308943,0.0,4.479607859925003,6.0,-2.516853932584269,14.9,-25.1,0.0,6.395830245968075,9.0,15.0,19.0
Bryan Bula,Bryan Bula LLC,Big Morgan W 1/2,568215,43.85049327,-89.72463505,2016,52.0341645426694,89.6881287665499,21.7062158378044,1.425,1.425,2.15,2.15,1901.50891986501,43,0.4,0.533333333333333,0.0721694163767181,0.0707013424660479,19.689430894308945,38.1,0.3,2.032520325203252,1.0,4.194098371387321,10.0,-4.1866666666666665,9.4,-26.8,1.0,6.037210457848852,2.0,18.0,5.0
John Fenske,Fenske,Leatherberry,568222,43.9861073,-89.43261907,2016,45.2089145243927,87.2147729363817,18.0228842697879,1.25,1.25,5.375,5.375,1920.62061207118,43,0.2,0.333333333333333,0.0241333497491984,0.0355367466286954,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
John Fenske,Fenske,Semrow E,568223,44.00552275,-89.44352174,2016,45.0382898470406,87.4547015188737,18.5146618897937,1.28571428571429,1.28571428571429,1.85714285714286,1.85714285714286,1909.87495940135,43,0.2,0.333333333333333,0.0112757418436825,0.0157973652570839,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Weekly Farms,Weekly Farms,Wetmore/Slinger 3,568225,44.14861339,-89.56769253,2016,49.1495647443051,87.5764297091827,17.4638245197922,3.89357142857143,3.89357142857143,5.11538461538461,5.11538461538461,2131.5481788447,43,0.4,0.466666666666667,0.23981895062364,0.236277714380305,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Gary Bula,Gary Bula Farms,Bolsters,568226,43.88493107,-89.72103379,2016,48.8841639556778,91.2168315540331,16.0273574041048,4.63461538461539,4.63461538461539,3.38461538461538,3.38461538461538,1927.36446904336,43,0.2,0.333333333333333,0.0798232120951772,0.0867649344216428,19.39915254237288,33.9,2.8,4.512711864406779,3.0,3.5167607415466984,3.0,-1.0911111111111111,21.3,-24.2,0.0,6.130447945296291,9.0,9.0,6.0
Gary Bula,Gary Bula Farms,East Morgans,568228,43.85059231,-89.71470505,2016,49.0265255558404,89.6372648542254,19.9028744486354,3.21428571428571,3.21428571428571,6.61538461538461,6.61538461538461,2011.71539402646,43,0.2,0.333333333333333,0.101363196222653,0.0927210945679488,19.39915254237288,33.9,2.8,4.512711864406779,3.0,3.5167607415466984,3.0,-1.0911111111111111,21.3,-24.2,0.0,6.130447945296291,9.0,9.0,6.0
Weekly Farms,Weekly Farms,Foth NW,568231,43.99673168,-89.32378349,2016,49.4620747160001,92.0276389282079,16.0988915789812,1.18181818181818,1.18181818181818,2.8,2.8,1733.40341414357,43,0.2,0.333333333333333,0.0524304932400195,0.0815075921797388,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Weekly Farms,Weekly Farms,Foth NE,568232,44.00058541,-89.3153706,2016,49.3699606389574,92.037361545761,16.0729331759393,0.681818181818182,0.681818181818182,0.75,0.75,1730.1844343002,43,0.2,0.333333333333333,0.041363674452957,0.0683104660880606,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Weekly Farms,Weekly Farms,Foth SE,568233,43.99145927,-89.31516225,2016,49.5602493431781,92.0177549033428,16.1124544489664,0.636363636363636,0.65,1.33333333333333,1.33333333333333,1732.27839054706,43,0.2,0.333333333333333,0.0384021313496836,0.0639695836759454,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Weekly Farms,Weekly Farms,Foth SW,568234,43.9895771,-89.32342712,2016,49.6049209044172,91.9941010447949,16.1317191344489,0.9,0.9,1.6,1.6,1735.42302020092,43,0.2,0.333333333333333,0.0387553677774402,0.0624781494929496,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Miller Farms,Miller Farms,Hutch N,568240,44.11503857,-89.5700833,2016,44.623906850468,90.4525953667327,19.5206604569017,4.75,4.75,4.11538461538461,4.11538461538461,1900.0156687421,43,0.4,0.466666666666667,0.153577189446803,0.155734785742169,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Miller Farms,Miller Farms,Hitler,568241,44.17232458,-89.59553855,2016,43.8799571440877,90.0552221737162,19.0654518359951,3.55769230769231,3.55769230769231,3.57142857142857,3.57142857142857,1889.30450973569,43,0.4,0.4,0.109707659990262,0.119294435424666,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Miller Farms,Miller Farms,Little Tibbetts,568242,44.17968472,-89.56010288,2016,43.9376515808585,90.2654209349983,19.0367171796538,3.10384615384615,3.10384615384615,4.72142857142857,4.72142857142857,1883.00385785619,43,0.4,0.4,0.151628459158027,0.141712833019848,19.357723577235777,33.3,-3.9,2.9633027522935786,2.0,4.5497614444773555,12.0,-3.326666666666666,14.4,-27.2,1.0,6.707078266757031,7.0,20.0,16.0
Gene Bula,Gene Bula,Cassler East,568272,44.27770889,-89.52623863,2016,47.4493155420772,91.1002834553235,15.4167097309797,7.33333333333333,7.33333333333333,4.33333333333333,4.33333333333333,1609.0676969128,43,0.2,0.333333333333333,0.264145787956246,0.270408228710445,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Gene Bula,Gene Bula,14,568273,44.2010357,-89.63496399,2016,48.3984853228802,89.9155724611525,16.6218128880645,4.46923076923077,4.75833333333333,8.78571428571429,8.78571428571429,1957.12675564143,43,0.2,0.333333333333333,0.15659121404831,0.151181724986368,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Signature Farms,Signature Farms,E-1,568284,43.77978859,-89.80216697,2016,49.1869388280039,91.100470622834,16.5072868624642,2.88846153846154,3.0875,4.31153846153846,4.31153846153846,1978.23288577036,43,0.2,0.333333333333333,0.0394483635529362,0.0537415172812665,19.54308943089431,33.8,-1.6,4.558536585365854,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Signature Farms,Signature Farms,18th Ave,568285,43.93358545,-89.92267079,2016,44.8700000000001,87.2600891806782,18.5496991483355,2.61428571428571,2.61428571428571,4.28571428571429,4.28571428571429,2072.76478841922,141,0.0,0.0,0.0087226836866857,0.0125487455475181,18.938260869565223,33.2,-5.5,10.398373983739837,0.0,4.612826940986456,15.0,-3.761627906976744,15.3,-27.0,0.0,7.107579526850625,6.0,20.0,17.0
Signature Farms,Signature Farms,Kent,568286,43.91932405,-89.69259519,2016,50.111456606133,86.7569414098368,17.9507960934637,4.07142857142857,4.07142857142857,3.85714285714286,3.85714285714286,1979.78031467162,43,0.2,0.333333333333333,0.142515275188675,0.144132445383025,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Signature Farms,Signature Farms,E-4,568291,43.8218382,-89.78200508,2016,49.0680392920084,91.2327177436601,15.2021214930688,2.07692307692308,2.07692307692308,4.0,4.0,1958.70318178859,43,0.4,0.466666666666667,0.0847855595250217,0.10452979288797,19.54308943089431,33.8,-1.6,2.032520325203252,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Signature Farms,Signature Farms,E-19,568293,43.71157627,-89.72291819,2016,51.9882879281406,91.0321108505121,17.9839426706143,4.33333333333333,4.33333333333333,6.08333333333333,6.08333333333333,1990.52640248751,43,0.2,0.333333333333333,0.0481041453611796,0.0727223216043568,19.54308943089431,33.8,-1.6,6.72542372881356,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Taterland,Taterland,Ronny East,568313,44.26198223,-89.59416002,2016,47.5371711815404,88.8677965466902,16.7526376075737,2.56615384615385,2.56615384615385,3.57142857142857,3.57142857142857,1910.24549478202,43,0.4,0.466666666666667,0.135598615209183,0.128490580368867,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Taterland,Taterland,Ricky Home,568314,44.26248706,-89.5839488,2016,47.595148076594,88.8010962046862,16.696159669453,1.28181818181818,1.28181818181818,2.41666666666667,2.41666666666667,1681.56567551225,43,0.4,0.466666666666667,0.154922809981575,0.145754372186721,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Taterland,Taterland,Field F Ditt Warehouse,568316,44.25796331,-89.58486316,2016,47.6145075666922,88.8599069761455,16.4708051487781,1.06,1.06,1.25,1.25,1409.64745137575,43,0.4,0.4,0.12289246154709,0.115019472484767,19.56829268292683,33.3,-2.8,2.728440366972477,2.0,4.548307504944689,12.0,-3.9422222222222225,14.4,-25.6,1.0,6.773046014136695,3.0,17.0,19.0
Signature Farms,Signature Farms,Bork W,568910,43.73453269,-89.71969058,2016,51.8838344768337,90.7735346299701,20.3209815196531,4.42307692307692,4.42307692307692,6.15384615384615,6.15384615384615,2057.60735689129,43,0.2,0.333333333333333,0.096423630216467,0.105905093004879,19.54308943089431,33.8,-1.6,6.72542372881356,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Signature Farms,Signature Farms,E-2,568911,43.77825891,-89.79218369,2016,49.1845439366048,91.0100020013739,16.4835478692451,3.17692307692308,3.17692307692308,4.8375,4.8375,1974.01043974916,43,0.2,0.333333333333333,0.0604036344282652,0.0765540968726217,19.54308943089431,33.8,-1.6,4.558536585365854,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Signature Farms,Signature Farms,E-3,568912,43.77780316,-89.78282818,2016,49.1825883590883,90.9291573536111,16.4579646135337,3.39230769230769,3.39230769230769,5.425,5.425,1969.660068592,43,0.2,0.333333333333333,0.0454853055302977,0.0606992125880596,19.54308943089431,33.8,-1.6,4.558536585365854,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Signature Farms,Signature Farms,E-11,568914,43.77115047,-89.74271779,2016,49.3433517967869,90.7961905110929,16.4106839248736,8.00769230769231,8.00769230769231,10.8333333333333,10.8333333333333,1958.951855774,43,0.2,0.333333333333333,0.0485486708701907,0.0633117127213434,19.54308943089431,33.8,-1.6,4.560975609756097,0.0,4.417422312319616,7.0,-3.096666666666667,14.0,-23.7,1.0,6.690870016151391,7.0,14.0,19.0
Signature Farms,Signature Farms,Big Pivot S 1/2,568916,43.92995579,-89.84005064,2016,45.183874528733,86.8776063872123,18.6660358430094,4.5,4.5,5.25,5.25,1802.55814296841,43,0.4,0.4,0.104443053002949,0.0916876223864946,18.938260869565223,33.2,-5.5,4.512711864406779,0.0,4.612826940986456,15.0,-3.761627906976744,15.3,-27.0,0.0,7.107579526850625,6.0,20.0,17.0
Signature Farms,Signature Farms,Cassanova S 1/3,568918,43.92513282,-89.82976892,2016,45.2092219514163,86.8131391698392,18.1922971200871,7.19230769230769,7.19230769230769,6.23076923076923,6.23076923076923,1895.66936443193,43,0.4,0.4,0.0977964228228935,0.0880332582400076,18.938260869565223,33.2,-5.5,4.512711864406779,0.0,4.612826940986456,15.0,-3.761627906976744,15.3,-27.0,0.0,7.107579526850625,6.0,20.0,17.0
Signature Farms,Signature Farms,Bays South N 1/2,568922,43.95035388,-89.74229419,2016,45.7480498859,86.8539002282003,18.140310031114,3.71428571428571,3.71428571428571,5.57142857142857,5.57142857142857,1981.86241531582,36,0.0,0.0,0.0226662984985058,0.0333187888887297,20.154368932038835,35.0,2.8,2.287671232876712,3.0,3.8676835216107133,1.0,-7.15625,15.6,-27.2,0.0,7.14204600955018,1.0,31.0,1.0
Signature Farms,Signature Farms,F-1 Organic,568925,44.05840983,-89.60087161,2016,57.1189243429363,83.8236210685625,17.4880734992356,0.0,0.0,0.0,0.0,1751.28351764814,206,0.0,0.0,0.16950513596691,0.159421154207319,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
Signature Farms,Signature Farms,F-5 Organic,568926,44.06708686,-89.58194062,2016,56.4554599320583,83.6719868387708,16.8968616927073,0.0,0.0,0.0,0.0,1172.69142753854,36,0.0,0.0,0.148932065855763,0.142293426251407,19.459999999999997,33.3,-3.9,2.8285714285714287,2.0,4.880059295070528,11.0,-3.94,14.4,-27.2,0.0,6.742921276551591,6.0,20.0,11.0
